WITTCASE NUMBER: HA002439
SAMPLE NUMBER:   31
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 35.52   	-356.05		 68.28   	 -35.61		
 34.10   	-350.97		 68.14   	 -40.69		
 32.70   	-335.71		 67.98   	 -40.69		
 31.35   	-279.75		 67.81   	 -50.86		
 30.23   	-183.11		 67.61   	 -45.78		
 29.50   	-101.73		 67.43   	 -50.86		
 29.09   	 -45.78		 67.22   	 -45.78		
 28.91(D)	   5.09		 67.04   	 -40.69		
 28.93   	  61.04		 66.88   	 -45.78		
 29.18   	 132.25		 66.69   	 -40.69		
 29.70   	 183.11		 66.53   	 -45.78		
 30.44   	 228.89		 66.35   	 -35.61		
 31.35   	 259.41		 66.21   	 -45.78		
 32.39   	 269.58		 66.02   	 -45.78		
 33.47   	 279.75		 65.84   	 -45.78		
 34.59   	 279.75		 65.66   	 -40.69		
 35.71   	 269.58		 65.49   	 -35.61		
 36.79   	 264.50		 65.35   	 -35.61		
 37.84   	 249.24		 65.21   	 -25.43		
 38.84   	 228.89		 65.11   	 -10.17		
 39.76   	 203.46		 65.07(D)	  20.35		
 40.57   	 178.03		 65.15   	  55.95		
 41.28   	 152.59		 65.37   	 116.99		
 41.89   	 127.16		 65.84   	 203.46		
 42.40   	 101.73		 66.65   	 279.75		
 42.81   	  86.47		 67.77   	 345.88		
 43.15   	  81.38		 69.16   	 401.83		
 43.48   	  71.21		 70.76   	 427.26		
 43.76   	  66.12		 72.47   	 442.52		
 44.03   	  66.12		 74.24   	 432.35		
 44.29   	  71.21		 75.97   	 417.09		
 44.58   	  86.47		 77.64   	 401.83		
 44.92   	  86.47		 79.25   	 396.74		
 45.27   	  91.56		 80.83   	 391.66		
 45.64   	  86.47		 82.40   	 406.92		
 45.98   	  96.64		 84.03   	 412.00		
 46.37   	  96.64		 85.68   	 427.26		
 46.75   	  96.64		 87.39   	 437.43		
 47.14   	  96.64		 89.13   	 437.43		
 47.53   	  96.64		 90.88   	 442.52		
 47.91   	 101.73		 92.65   	 442.52		
 48.32   	 101.73		 94.42   	 432.35		
 48.73   	 101.73		 96.15   	 417.09		
 49.14   	  96.64		 97.82   	 391.66		
 49.52   	  91.56		 99.39   	 371.31		
 49.89   	  96.64		100.87   	 345.88		
 50.27   	  86.47		102.26   	 310.27		
 50.62   	  76.30		103.50   	 279.75		
 50.93   	  76.30		104.62   	 244.15		
 51.23   	  76.30		105.59   	 208.54		
 51.54   	  71.21		106.43   	 178.03		
 51.82   	  61.04		107.14   	 152.59		
 52.06   	  61.04		107.75   	 132.25		
 52.31   	  55.95		108.28   	 106.82		
 52.53   	  55.95		108.71   	  86.47		
 52.76   	  55.95		109.05   	  71.21		
 52.98   	  40.69		109.34   	  50.86		
 53.14   	  40.69		109.54   	  40.69		
 53.31   	  30.52		109.70   	  25.43		
 53.43   	  25.43		109.81   	   5.09		
 53.53   	  25.43		109.83(S)	  -5.09		
 53.63   	  20.35		109.81   	 -15.26		
 53.71   	  15.26		109.75   	 -30.52		
 53.77   	  15.26		109.62   	 -45.78		
 53.83   	  10.17		109.44   	 -50.86		
 53.88   	   5.09		109.24   	 -61.04		
 53.90   	   0.00		108.99   	 -66.12		
 53.90   	   5.09		108.73   	 -76.30		
 53.92(S)	  -5.09		108.42   	 -81.38		
 53.90   	   0.00		108.10   	 -86.47		
 53.90   	   0.00		107.75   	 -86.47		
 53.90   	  -5.09		107.41   	 -91.56		
 53.88   	  -5.09		107.04   	 -96.64		
 53.86   	  -5.09		106.65   	-101.73		
 53.83   	 -15.26		106.25   	-101.73		
 53.77   	 -25.43		105.84   	 -96.64		
 53.67   	 -50.86		105.45   	-101.73		
